department,day,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,half
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,12,0.979527778,Half2
sewing,Weekend,0.8,25.9,1138,6720,38,0,0,0,56,0.800125,Half1
finishing,Weekend,0.8,2.9,0,1440,0,0,0,0,8,0.597348485,Half1
finishing,Weekday,0.5,4.15,0,960,0,0,0,0,8,0.864583333,Half2
finishing,Weekend,0.5,2.9,0,960,0,0,0,0,8,0.7975,Half1
sewing,Weekday,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478,Half1
finishing,Weekend,0.75,4.08,0,1080,0,0,0,0,9,0.971866667,Half2
finishing,Weekday,0.75,3.94,0,1440,0,0,0,0,8,0.779791667,Half1
finishing,Weekend,0.5,3.94,0,3360,0,0,0,0,8,0.768847222,Half2
finishing,Weekday,0.75,2.9,0,1200,0,0,0,0,10,0.8004,Half1
finishing,Weekend,0.75,2.9,0,960,0,0,0,0,8,0.447083333,Half1
sewing,Weekday,0.35,22.94,1450,10080,30,0,0,0,56,0.400332792,Half2
sewing,Weekday,0.8,22.52,21266,6840,70,0,0,0,57,0.90014152,Half1
sewing,Weekday,0.8,11.41,601,0,50,0,0,0,56,0.800701754,Half1
finishing,Weekend,0.8,4.3,0,960,0,0,0,0,8,0.447916667,Half1
finishing,Weekday,0.75,3.94,0,1800,0,0,0,0,10,0.910378788,Half2
finishing,Weekday,0.75,3.94,0,0,960,0,0,0,8,0.7953875,Half1
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.648106061,Half1
finishing,Weekday,0.8,3.94,0,2400,0,0,0,0,10,0.733277778,Half2
sewing,Weekday,0.8,30.1,874,3960,50,0,0,0,59,0.800055762,Half1
finishing,Weekday,0.8,4.08,0,1080,0,0,0,0,9,0.272,Half1
sewing,Weekend,0.8,22.52,1534,6780,88,0,0,0,57,0.900135693,Half1
sewing,Weekday,0.7,16.1,957,5400,40,0,0,1,45,0.700051852,Half1
sewing,Weekday,0.65,30.1,326,5820,0,90,10,0,58.5,0.650834808,Half1
sewing,Weekday,0.8,30.1,323,4080,50,0,0,1,59,0.800808642,Half2
finishing,Weekday,0.65,3.9,0,960,0,0,0,0,8,0.560625,Half1
finishing,Weekday,0.8,4.3,0,1200,0,0,0,0,10,0.989,Half2
sewing,Weekend,0.8,25.9,1152,6720,50,0,0,0,56,0.800125,Half1
finishing,Weekday,0.8,4.6,0,2160,0,0,0,0,9,0.922839506,Half1
finishing,Weekday,0.7,3.9,0,960,0,0,0,0,8,0.440375,Half2
sewing,Weekday,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455,Half1
finishing,Weekday,0.8,3.94,0,1200,0,0,0,0,10,0.962016667,Half1
sewing,Weekend,0.7,24.26,148,6960,0,0,0,0,58,0.355534483,Half1
finishing,Weekend,0.6,2.9,0,2880,0,0,0,0,12,0.805555556,Half2
sewing,Weekday,0.8,22.94,16882,7020,113,0,0,0,58.5,1.000602279,Half1
sewing,Weekend,0.8,29.4,983,6840,63,0,0,1,57,0.800578947,Half1
finishing,Weekday,0.8,3.94,0,1800,0,0,0,0,10,0.72830303,Half2
finishing,Weekend,0.8,2.9,0,1440,0,0,0,0,8,0.590435606,Half1
finishing,Weekday,0.7,4.15,0,1800,0,0,0,0,15,1.096633333,Half1
finishing,Weekday,0.65,4.15,0,960,0,0,0,0,8,0.561979167,Half1
sewing,Weekday,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143,Half1
finishing,Weekday,0.8,3.94,0,3840,0,0,0,0,16,0.893663194,Half1
sewing,Weekday,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902,Half1
sewing,Weekday,0.5,30.33,838,6720,0,0,0,1,56,0.361071429,Half2
finishing,Weekday,0.7,2.9,0,3360,0,0,0,0,8,0.632361111,Half1
finishing,Weekend,0.75,3.94,0,960,0,0,0,0,8,0.890604167,Half1
finishing,Weekend,0.8,4.6,0,3360,0,0,0,0,8,0.350416667,Half1
sewing,Weekday,0.5,29.12,970,10440,30,0,0,0,58,0.500547544,Half2
finishing,Weekend,0.8,3.94,0,1200,0,0,0,0,10,0.971866667,Half2
sewing,Weekday,0.8,22.52,1444,6900,88,0,0,0,57.5,0.9008,Half2
finishing,Weekday,0.75,3.94,0,0,960,0,0,0,8,0.794566667,Half1
sewing,Weekday,0.8,30.1,461,0,0,0,0,0,59,0.800980392,Half2
sewing,Weekend,0.7,29.4,1146,6840,40,0,0,2,57,0.700614035,Half2
sewing,Weekday,0.8,22.52,1088,6720,88,0,0,0,56,0.90012976200000006,Half2
sewing,Weekday,0.8,26.16,1227,7080,75,0,0,0,59,0.850569492,Half1
sewing,Weekend,0.75,18.79,1055,3960,45,0,0,0,33,0.75065101,Half2
finishing,Weekday,0.8,2.9,0,1440,0,0,0,0,8,0.681060606,Half1
finishing,Weekday,0.8,3.94,0,960,0,0,0,0,8,0.676666667,Half1
finishing,Weekend,0.8,3.94,0,1440,0,0,0,0,8,0.846950758,Half1
finishing,Weekday,0.8,5.13,0,1080,0,0,0,0,9,0.9025,Half2
finishing,Weekday,0.8,5.13,0,2160,0,0,0,0,9,0.609583333,Half2
sewing,Weekday,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246,Half1
finishing,Weekday,0.75,3.94,0,3780,0,0,0,0,21,0.997792208,Half2
sewing,Weekday,0.7,23.41,1180,4560,30,0,0,1,38,0.700246491,Half1
sewing,Weekday,0.8,25.9,1150,10170,70,0,0,0,56.5,0.900144811,Half1
sewing,Weekday,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766,Half1
finishing,Weekday,0.8,4.6,0,1080,0,0,0,0,9,0.902962963,Half2
sewing,Weekend,0.5,27.48,609,6840,30,0,0,1,57,0.550403509,Half2
sewing,Weekend,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838,Half1
finishing,Weekday,0.8,4.15,0,1440,0,0,0,0,8,0.601278409,Half1
sewing,Weekday,0.5,20.79,1455,6960,30,0,0,0,58,0.500035345,Half2
sewing,Weekday,0.65,30.1,909,7080,0,0,0,1,59,0.535677966,Half1
sewing,Weekday,0.5,30.1,1061,6960,30,0,0,1,58,0.393548851,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.858143939,Half1
sewing,Weekday,0.8,15.26,959,4080,50,0,0,0,34,0.800401961,Half1
finishing,Weekday,0.75,4.15,0,1800,0,0,0,0,15,0.722333333,Half2
sewing,Weekend,0.75,22.94,1636,10530,81,0,0,0,58.5,0.850223776,Half2
sewing,Weekend,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649,Half1
sewing,Weekend,0.75,18.79,670,3960,34,0,0,0,33,0.75065101,Half1
sewing,Weekday,0.75,22.52,1635,6840,119,0,0,0,57,1.000230409,Half2
sewing,Weekend,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217,Half1
sewing,Weekday,0.7,21.98,413,9720,40,0,0,0,58,0.700480831,Half1
finishing,Weekday,0.8,3.94,0,4440,0,0,0,0,18,0.827186544,Half1
sewing,Weekday,0.7,30.1,767,3300,50,0,0,1,57,0.790003236,Half1
finishing,Weekday,0.8,4.3,0,1440,0,0,0,0,12,0.5375,Half1
sewing,Weekend,0.8,30.1,922,5820,63,0,0,1,59,0.80000295,Half2
finishing,Weekday,0.6,2.9,0,1200,0,0,0,0,10,0.280333333,Half1
finishing,Weekday,0.8,4.6,0,3780,0,0,0,0,9,0.636049383,Half1
finishing,Weekday,0.7,3.94,0,15000,0,0,0,0,25,0.649662222,Half2
finishing,Weekday,0.5,3.94,0,3360,0,0,0,0,8,0.768847222,Half2
sewing,Weekend,0.75,19.31,513,6480,45,0,0,0,54,0.750348457,Half1
finishing,Weekday,0.35,4.15,0,1440,0,0,0,0,12,0.994375,Half1
sewing,Weekend,0.7,41.19,1052,10440,21,0,0,0,58,0.452012539,Half2
sewing,Weekend,0.8,30.1,450,5700,0,4.5,25,0,60,0.307501459,Half2
sewing,Weekend,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766,Half1
finishing,Weekday,0.75,3.94,0,1200,0,0,0,0,10,0.853666667,Half2
finishing,Weekday,0.75,3.94,0,1920,0,0,0,0,8,0.812625,Half1
sewing,Weekday,0.75,22.52,1250,10080,55,0,0,0,56,0.800020563,Half2
sewing,Weekend,0.75,30.1,919,7140,0,0,0,1,59.5,0.598627451,Half2
sewing,Weekday,0.7,22.94,1422,10500,60,0,0,0,57,0.800415742,Half2
finishing,Weekend,0.75,2.9,0,3360,0,0,0,0,8,0.271875,Half2
sewing,Weekday,0.7,26.82,1028,6960,60,0,0,0,58,0.799975862,Half1
finishing,Weekday,0.7,4.6,0,960,0,0,0,0,8,0.791458333,Half2
sewing,Weekday,0.7,22.52,1206,10080,75,0,0,0,56,0.800020563,Half2
sewing,Weekday,0.8,15.26,1062,4080,50,0,0,0,34,0.800401961,Half2
sewing,Weekday,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522,Half1
sewing,Weekday,0.7,20.4,1480,10440,40,0,0,0,58,0.700250784,Half2
finishing,Weekend,0.7,4.15,0,1800,0,0,0,0,15,0.929277778,Half1
sewing,Weekday,0.8,48.84,1040,10260,30,0,0,0,57,0.576460393,Half2
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.858143939,Half2
finishing,Weekend,0.8,3.94,0,1440,0,0,0,0,8,0.858143939,Half1
sewing,Weekend,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445,Half1
sewing,Weekday,0.8,22.52,1108,6720,113,0,0,0,56,0.999995238,Half1
sewing,Weekday,0.8,25.9,1380,3630,50,0,0,0,56.5,0.800162602,Half2
sewing,Weekday,0.75,19.31,578,6480,45,0,0,0,54,0.712205247,Half1
sewing,Weekend,0.8,26.16,844,7080,63,0,0,0,59,0.800318644,Half1
sewing,Weekend,0.75,18.79,813,1560,34,0,0,0,33,0.750520115,Half1
sewing,Weekday,0.8,22.52,1263,6900,100,0,0,0,57.5,1.05028058,Half1
sewing,Weekend,0.35,15.09,1448,9360,23,0,0,0,52,0.34998951,Half2
finishing,Weekday,0.75,4.6,0,3360,0,0,0,0,8,0.376597222,Half2
finishing,Weekday,0.7,3.94,0,960,0,0,0,0,8,0.812625,Half1
finishing,Weekday,0.8,4.6,0,0,1080,0,0,0,9,0.902962963,Half1
sewing,Weekday,0.8,30.1,834,1200,0,4,40,0,59,0.366053523,Half1
finishing,Weekend,0.8,2.9,0,1620,0,0,0,0,9,0.910521886,Half2
sewing,Weekday,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299,Half1
sewing,Weekday,0.65,23.54,830,6600,0,0,0,0,55,0.48792,Half2
sewing,Weekend,0.7,30.1,824,5160,0,0,0,1,60,0.700206125,Half1
finishing,Weekday,0.5,3.9,0,960,0,0,0,0,8,0.5403125,Half1
sewing,Weekday,0.7,29.4,1228,6960,30,0,0,2,58,0.700362069,Half2
sewing,Weekday,0.7,21.82,1653,6240,0,0,0,2,52,0.700058333,Half2
sewing,Weekday,0.8,22.52,21385,7020,88,0,0,0,58.5,0.900158405,Half1
sewing,Weekday,0.8,51.02,1086,4260,27,0,0,0,57,0.311207464,Half1
finishing,Weekday,0.8,3.94,0,1440,0,0,0,0,8,0.858143939,Half1
sewing,Weekend,0.6,30.1,1361,6960,30,0,0,1,58,0.475718391,Half2
finishing,Weekend,0.7,4.15,0,2700,0,0,0,0,15,0.966666667,Half2
sewing,Weekday,0.75,18.79,1020,5640,45,0,0,1,52,0.750371895,Half2
sewing,Weekend,0.7,15.26,1296,6120,40,0,0,0,34,0.70043672,Half2
finishing,Weekend,0.6,3.94,0,3360,0,0,0,0,8,0.448722222,Half1
sewing,Weekday,0.8,28.08,737,10530,63,0,0,0,58.5,0.8,Half1
sewing,Weekend,0.6,11.41,1039,2280,23,0,0,2,55,0.600447507,Half1
finishing,Weekday,0.8,4.6,0,1440,0,0,0,0,12,0.894444444,Half1
sewing,Weekend,0.8,25.9,1288,10170,38,0,0,0,56.5,0.800128721,Half2
sewing,Weekday,0.75,11.61,635,3360,45,0,0,0,57,0.750503571,Half2
sewing,Weekend,0.8,26.87,585,5670,56,0,0,0,31.5,0.662255892,Half2
sewing,Weekday,0.7,22.52,983,10260,63,0,0,0,57,0.750068049,Half2
finishing,Weekday,0.65,3.9,0,0,960,0,0,0,8,0.2640625,Half1
sewing,Weekday,0.8,30.1,694,4080,50,0,0,1,59,0.800808642,Half2
finishing,Weekday,0.75,3.94,0,1920,0,0,0,0,8,0.813309028,Half1
sewing,Weekend,0.75,15.26,1209,4200,45,0,0,0,35,0.750646667,Half2
